21-9-1,60mW pras,15,Data/60/pras.csv,-
21-9-1,60mW pas,0,Data/60/pas.csv,-
21-9-1,60mW pas,15,Data/60/prs.csv,-
21-9-1,60mW ps,0,Data/60/ps.csv,-
21-9-1,40mW pras,15,Data/40/pras.csv,-
21-9-1,40mW pas,0,Data/40/pas.csv,-
21-9-1,40mW pas,15,Data/40/prs.csv,-
21-9-1,40mW ps,0,Data/40/ps.csv,-
21-9-1,20mW pras,15,Data/20/pras.csv,-
21-9-1,20mW pas,0,Data/20/pas.csv,-
21-9-1,20mW pas,15,Data/20/prs.csv,-
21-9-1,20mW ps,0,Data/20/ps.csv,-
21-9-1,10mW pras,15,Data/10/pras.csv,-
21-9-1,10mW pas,0,Data/10/pas.csv,-
21-9-1,10mW pas,15,Data/10/prs.csv,-
21-9-1,10mW ps,0,Data/10/ps.csv,-
21-9-1,5mW pras,15,Data/5/pras.csv,-
21-9-1,5mW pas,0,Data/5/pas.csv,-
21-9-1,5mW pas,15,Data/5/prs.csv,-
21-9-1,5mW ps,0,Data/5/ps.csv,-
21-9-1,4mW pras,15,Data/4/pras.csv,-
21-9-1,4mW pas,0,Data/4/pas.csv,-
21-9-1,4mW pas,15,Data/4/prs.csv,-
21-9-1,4mW ps,0,Data/4/ps.csv,-
21-9-1,3mW pras,15,Data/3/pras.csv,-
21-9-1,3mW pas,0,Data/3/pas.csv,-
21-9-1,3mW pas,15,Data/3/prs.csv,-
21-9-1,3mW ps,0,Data/3/ps.csv,-
21-9-1,2mW pras,15,Data/2/pras.csv,-
21-9-1,2mW pas,0,Data/2/pas.csv,-
21-9-1,2mW pas,15,Data/2/prs.csv,-
21-9-1,2mW ps,0,Data/2/ps.csv,-
21-9-1,1mW pras,15,Data/1/pras.csv,-
21-9-1,1mW pas,0,Data/1/pas.csv,-
21-9-1,1mW pas,15,Data/1/prs.csv,-
21-9-1,1mW ps,0,Data/1/ps.csv,-
21-9-1,0mW pas,0,Data/0/pas2.csv,-(done again at the end)
21-9-1,0mW pras,15,Data/0/pras2.csv,
21-9-1,0mW ps,0,Data/0/ps2.csv,-
21-9-1,0mW prs,15,Data/0/prs2.csv,
